"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.776939200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
9.772595400E-2,-7.999999821E-2,-1.476573944E-2,3.309988976E-1,3.408493758E-1
1.077376210E-1,-2.666666545E-2,-2.379989624E-2,3.313140869E-1,3.332365080E-1
1.177365790E-1,-1.083701372E0,-2.422904968E-2,1.106367111E0,1.548884726E0
1.277384020E-1,-1.570234656E0,-3.641891479E-2,1.554618835E0,2.209932790E0
1.377376210E-1,-1.402541637E0,-5.653452873E-2,1.370857716E0,1.962032129E0
1.477506420E-1,-1.269218564E0,-7.637524605E-2,1.255198479E0,1.786693080E0
1.577376730E-1,-1.148079395E0,-8.308529854E-2,1.139076233E0,1.619408574E0
1.677291310E-1,-1.028811932E0,-9.707021713E-2,9.884510040E-1,1.430004198E0
1.777203290E-1,-8.956623077E-1,-1.034896374E-1,8.349199295E-1,1.228825603E0
1.877592880E-1,-7.500895262E-1,-9.482383728E-2,6.866807938E-1,1.021350268E0
1.977397040E-1,-5.981889963E-1,-8.296442032E-2,4.225873947E-2,6.053915852E-1
2.077386630E-1,1.285828352E-1,-6.390905380E-2,2.906799316E-3,1.436188085E-1
2.177407460E-1,1.906708479E-1,-3.894352913E-2,-2.924156189E-2,1.967918688E-1
2.277373610E-1,2.546554804E-1,-4.513978958E-3,-4.630041122E-2,2.588696927E-1
2.377384020E-1,3.202022314E-1,2.847480774E-2,-5.093240738E-2,3.254756424E-1
2.477399650E-1,3.638516665E-1,7.415866852E-2,-3.139448166E-2,3.726568888E-1
2.577376210E-1,4.032744169E-1,1.163890362E-1,-1.133918762E-3,4.197355702E-1
2.677410060E-1,1.429567814E0,9.978127480E-2,1.169141769E0,1.849462872E0
2.777394440E-1,2.854754448E0,1.416344643E-1,2.338240623E0,3.692838000E0
2.877381420E-1,2.818704128E0,2.509953976E-1,2.155593395E0,3.557340936E0
2.977363190E-1,2.731392384E0,1.092412949E0,2.081001759E0,3.603392668E0
