"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.896042500E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.089591230E-1,1.667690277E-2,-5.974149704E-2,1.725101471E-2,6.437983429E-2
1.189651120E-1,3.057432175E-2,-4.642701149E-1,6.433296204E-2,4.697023086E-1
1.289596440E-1,3.472423553E-2,-3.669261932E-1,1.186542511E-1,3.871943118E-1
1.389625080E-1,1.523804665E-2,-2.874678373E-1,1.292362213E-1,3.155502440E-1
1.489921960E-1,1.267671585E-3,-2.258446217E-1,5.720567703E-2,2.329804490E-1
1.589601650E-1,-1.340627670E-2,-1.223690510E-1,-8.471536636E-2,1.494342872E-1
1.689708940E-1,-5.901741982E-2,6.948682070E-1,-7.756180763E-1,1.043028418E0
1.789494870E-1,-1.119360924E-1,1.306079388E0,-6.999201775E-1,1.486021975E0
1.889570920E-1,-1.622655392E-1,1.824226618E0,-6.480455399E-1,1.942703240E0
1.989643310E-1,-2.063503265E-1,1.789360762E0,-6.319046021E-1,1.908846725E0
2.089599040E-1,-2.410652637E-1,2.390511990E0,-6.304750443E-1,2.483980438E0
2.189687580E-1,-2.501471043E-1,2.251194954E0,-6.271162033E-1,2.350261055E0
2.289614670E-1,-2.657065392E-1,2.129624605E0,-6.083869934E-1,2.230702951E0
2.389617270E-1,-3.048648834E-1,2.008414745E0,-5.770149231E-1,2.111780909E0
2.489578210E-1,-3.541932106E-1,1.901139498E0,-5.352282524E-1,2.006552641E0
2.589614670E-1,-4.257489443E-1,1.796105146E0,-5.079517365E-1,1.914489704E0
2.689739670E-1,-1.064374328E0,1.697656393E0,-4.973263741E-1,2.064524996E0
2.789604250E-1,-1.067107916E0,1.595534325E0,-5.051851273E-1,1.984857954E0
2.889604250E-1,-1.097928882E0,1.504551411E0,-5.191092491E-1,1.933545238E0
2.989575600E-1,-2.160343885E0,1.418403864E0,-5.007271767E-1,2.632429093E0
3.089575600E-1,-2.023964643E0,1.359944582E0,-4.460611343E-1,2.478881336E0
3.189640710E-1,-1.897705317E0,1.315474510E0,-3.658432961E-1,2.337862266E0
3.289659980E-1,-1.780300975E0,1.259408236E0,-2.972784042E-1,2.200898706E0
3.389845920E-1,-1.670688868E0,1.203222275E0,-2.527790070E-1,2.074329376E0
3.489643830E-1,-1.760277867E0,1.137701511E0,-2.191963196E-1,2.107365636E0
3.589666750E-1,-1.656563759E0,1.045632362E0,-2.515835762E-1,1.975055650E0
3.689651650E-1,-1.558829427E0,9.266915321E-1,-3.206663132E-1,1.841611594E0
3.789593830E-1,-2.122035027E-1,7.995648384E-1,-9.538602829E-1,1.262609875E0
3.889614670E-1,-1.003572941E-1,5.687808990E-2,-1.619239330E0,1.623343067E0
3.989604250E-1,-7.299482822E-2,1.372480392E-2,-1.602427483E0,1.604147890E0
4.089596440E-1,-4.956412315E-2,-3.244495392E-2,-1.535890579E0,1.537032579E0
4.189669350E-1,-5.809271336E-2,-9.536981583E-2,-1.389261723E0,1.393742551E0
4.289583420E-1,-1.271336079E-1,-1.485877037E-1,-4.979157448E-1,5.349405096E-1
4.389612060E-1,-2.332123518E-1,-2.029895782E-1,-3.681550026E-1,4.807607262E-1
4.489596440E-1,-1.529356956E0,-2.439827919E-1,4.701051712E-1,1.618474336E0
4.589596440E-1,-1.450163364E0,-2.687077522E-1,5.655775070E-1,1.579574486E0
4.689645920E-1,-1.374005318E0,-2.890892029E-1,1.224512100E0,1.863033296E0
4.789586020E-1,-1.300655127E0,-3.009569645E-1,1.261554718E0,1.836790451E0
4.889604250E-1,-1.425029516E0,-3.055484295E-1,1.299592972E0,1.952693232E0
4.989593830E-1,-2.405678749E0,-3.087201118E-1,1.300158024E0,2.751910107E0
