"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.035766250E-1,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.135761040E-1,1.999999955E-2,1.000022888E-2,-1.717650890E-2,2.819640080E-2
1.235750620E-1,3.999999911E-2,1.999950409E-2,-2.821958065E-2,5.288028767E-2
1.335784480E-1,5.999999866E-2,2.999973297E-2,-4.503023624E-2,8.079422005E-2
1.435763640E-1,-4.999999702E-2,-2.500057220E-2,-9.278380871E-2,1.083229591E-1
1.535758430E-1,-8.571428247E-3,-4.285812378E-3,-1.004948616E-1,1.009507542E-1
1.635789680E-1,2.749999985E-2,1.374912262E-2,-1.109530926E-1,1.151341701E-1
1.735860000E-1,5.999999866E-2,2.999973297E-2,-1.060047150E-1,1.254471339E-1
1.835669890E-1,-8.999999613E-2,-4.500007629E-2,-9.311151505E-2,1.370939838E-1
1.935856870E-1,-4.545454308E-2,-2.272796631E-2,-7.816052437E-2,9.322952059E-2
2.035674580E-1,-4.999998957E-3,-2.500534058E-3,-5.243301392E-2,5.273019636E-2
2.135698020E-1,3.230769187E-2,1.615333557E-2,-3.599822521E-2,5.099597457E-2
2.235698540E-1,6.714285910E-2,3.357124329E-2,-2.251112461E-2,7.837054699E-2
2.335695930E-1,-8.666666597E-2,-4.333305359E-2,-6.831169128E-3,9.713665320E-2
2.435662080E-1,-4.374999925E-2,-2.187538147E-2,-3.140687943E-3,4.901488213E-2
2.535711560E-1,-3.529411042E-3,-1.764297485E-3,-4.706501961E-3,6.141713818E-3
2.635682910E-1,3.444444388E-2,1.722240448E-2,-5.982041359E-3,3.897198672E-2
2.735695930E-1,7.052631676E-2,3.526401520E-2,2.279162407E-3,7.888413469E-2
2.835672500E-1,-8.499999344E-2,-4.249954224E-2,4.476904869E-3,9.513807152E-2
2.935698540E-1,-4.285714030E-2,-2.142906189E-2,1.096379757E-2,4.915428797E-2
3.035677710E-1,-2.727271756E-3,-1.363754272E-3,2.570736408E-2,2.588757240E-2
3.135667290E-1,3.565217555E-2,1.782512665E-2,3.326117992E-2,5.191453410E-2
3.235688120E-1,7.249999791E-2,3.624916077E-2,5.828344822E-2,9.983592385E-2
3.335682910E-1,-8.399999887E-2,-4.200077057E-2,8.380913734E-2,1.258730950E-1
3.435740210E-1,-4.230768979E-2,-2.115535736E-2,1.097168922E-1,1.194792292E-1
3.535875620E-1,-2.222221578E-3,-1.111984253E-3,1.311808825E-1,1.312044157E-1
3.635640210E-1,3.642857075E-2,1.821327209E-2,1.630553007E-1,1.680648540E-1
3.735952710E-1,7.379310578E-2,3.689575195E-2,1.894631386E-1,2.066470417E-1
3.835691250E-1,-8.333332837E-2,-4.166698456E-2,2.112077475E-1,2.308447396E-1
3.935825620E-1,-4.193548113E-2,-2.096843719E-2,2.289743423E-1,2.337252862E-1
4.035657910E-1,-1.874999260E-3,-9.374618530E-4,2.481012344E-1,2.481100905E-1
4.135690730E-1,3.696969524E-2,1.848411560E-2,2.636024952E-1,2.668233430E-1
4.235677710E-1,7.470588386E-2,3.735256195E-2,2.712484598E-1,2.838166837E-1
4.335654270E-1,-4.403594509E-2,-2.201843262E-2,2.794809341E-1,2.837843695E-1
4.435669890E-1,-3.926867153E-3,-1.963615417E-3,2.882355452E-1,2.882689813E-1
4.535703750E-1,3.512383997E-2,1.756095886E-2,2.805999517E-1,2.833344390E-1
4.635688120E-1,7.319758832E-2,3.659820557E-2,2.781411409E-1,2.899306984E-1
4.735693330E-1,-8.463235199E-2,-4.231643677E-2,2.657676935E-1,2.821095226E-1
