"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.420900000E-4	1.540352583E0	3.178803921E-1	-2.977921963E0	3.367751956E0
5.167819000E-3	2.715078354E0	5.981585979E-1	-2.447729111E0	3.704162790E0
1.019354800E-2	3.132556438E0	7.863214016E-1	-2.077899456E0	3.840426713E0
1.521927700E-2	2.644367933E0	8.581206799E-1	-1.872655392E0	3.351998073E0
2.024521500E-2	2.063827515E0	8.804886341E-1	-1.429854393E0	2.660663043E0
2.527136100E-2	1.696529627E0	8.622369766E-1	-8.019704819E-1	2.065144555E0
3.029766300E-2	1.388155818E0	8.071346283E-1	-2.851839066E-1	1.630880972E0
3.532406900E-2	1.118231773E0	7.525808811E-1	-7.978439331E-3	1.347918372E0
4.035057900E-2	1.033406734E0	7.072954178E-1	2.695341110E-1	1.280954692E0
4.537714200E-2	1.041047573E0	6.703219414E-1	5.621738434E-1	1.359834911E0
5.040370400E-2	9.872610569E-1	6.502146721E-1	8.894481659E-1	1.479385533E0
5.543026700E-2	9.099248052E-1	6.604869366E-1	1.170305252E0	1.622904966E0
6.045610000E-2	8.419206142E-1	6.814754009E-1	1.476727486E0	1.831382841E0
6.548177700E-2	7.876303792E-1	6.791474819E-1	1.751486778E0	2.036985236E0
7.050745400E-2	6.654809713E-1	6.390910149E-1	1.889431000E0	2.102677282E0
7.553313200E-2	6.046490669E-1	5.949692726E-1	1.919352531E0	2.098452542E0
8.055880900E-2	8.350485563E-1	6.188330650E-1	1.903404236E0	2.168688115E0
8.558448600E-2	1.194861650E0	6.917099953E-1	1.951485634E0	2.390492263E0
9.061016300E-2	1.451206923E0	7.756268978E-1	1.977222443E0	2.572354409E0
9.563584000E-2	1.491235971E0	8.185808659E-1	1.994662285E0	2.621552400E0
1.006614650E-1	1.340656281E0	8.789043427E-1	2.003385544E0	2.565810933E0
1.056870900E-1	1.067768455E0	8.951694965E-1	1.936086655E0	2.385348913E0
1.107127150E-1	7.069439888E-1	9.068000317E-1	1.696707726E0	2.049603183E0
1.157383400E-1	2.823113203E-1	9.197854996E-1	1.337549210E0	1.647647697E0
1.207639650E-1	-8.206230402E-2	9.111945629E-1	1.025718689E0	1.374448465E0
1.257895900E-1	-3.961784542E-1	9.200935364E-1	8.038473129E-1	1.284406472E0
1.308152150E-1	-6.031934023E-1	9.085655212E-1	6.381778717E-1	1.263568195E0
1.358408400E-1	-7.660592198E-1	8.675727844E-1	5.140628815E-1	1.266408272E0
1.408664650E-1	-8.851855993E-1	8.073587418E-1	4.215707779E-1	1.270080156E0
1.458920900E-1	-1.018342733E0	7.238030434E-1	3.268671036E-1	1.291415840E0
1.509177150E-1	-1.089666128E0	6.366157532E-1	2.631683350E-1	1.289150674E0
1.559433400E-1	-1.061553717E0	5.942158699E-1	3.162355423E-1	1.256978008E0
1.609689650E-1	-9.396796823E-1	5.967149734E-1	4.619407654E-1	1.205178798E0
1.659945900E-1	-7.582842112E-1	5.769925117E-1	7.480564117E-1	1.211405671E0
1.710202150E-1	-5.751948357E-1	5.154643059E-1	1.126827240E0	1.366123047E0
1.760458400E-1	-4.000817537E-1	4.112324715E-1	1.589032173E0	1.689438014E0
1.810714650E-1	-2.711251378E-1	3.014769554E-1	2.015550613E0	2.055928372E0
1.860970900E-1	-1.401598603E-1	1.848802567E-1	2.330529213E0	2.342048656E0
1.911227150E-1	5.032813549E-2	1.078424454E-1	2.587373734E0	2.590109216E0
1.961483400E-1	2.431797981E-1	4.036927223E-2	2.714981079E0	2.726148997E0
2.011739650E-1	4.717835784E-1	-2.292251587E-2	2.431606293E0	2.477057599E0
2.061995900E-1	5.306124687E-1	-2.163417339E-1	2.684842110E0	2.745310637E0
