"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.590651600E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
9.595235000E-2,1.298666000E-3,-4.522132874E-1,1.999999955E-2,4.526572034E-1
1.058917250E-1,-2.705454826E-2,-3.921179771E-1,-9.333332628E-2,4.039796608E-1
1.159041720E-1,-9.928750992E-2,-1.010003090E0,-3.999999911E-2,1.015659515E0
1.258976620E-1,-6.174080372E-1,-8.940668106E-1,1.303851582E-9,1.086530325E0
1.358945370E-1,-5.784958601E-1,-8.316760063E-1,3.333333135E-2,1.013633835E0
1.458934950E-1,-5.534437895E-1,-7.319521904E-1,-1.111468315E0,1.441324340E0
1.558937560E-1,-5.142409801E-1,-5.845313072E-1,-1.024821997E0,1.287004569E0
1.658945370E-1,-4.401415586E-1,1.505913734E-1,-9.661520720E-1,1.072311606E0
1.758945370E-1,2.986693382E-1,2.711417675E0,-9.380472898E-1,2.884600822E0
1.858953180E-1,3.629038334E-1,2.503799915E0,-9.516254663E-1,2.703017617E0
1.960769330E-1,3.863453865E-1,2.237353802E0,-1.554489374E0,2.751627156E0
2.058974540E-1,3.720655441E-1,3.664901257E0,-1.517209530E0,3.983950144E0
2.159117250E-1,2.857105732E-1,3.457232475E0,-1.467192531E0,3.766529018E0
2.258940680E-1,1.539652348E-1,3.218182564E0,-1.415832281E0,3.519230790E0
2.358963600E-1,-5.422058105E-1,2.967141151E0,-1.363365889E0,3.310087657E0
2.458953180E-1,-5.401862860E-1,2.775893211E0,-1.319316030E0,3.120573526E0
2.558945370E-1,-4.899445772E-1,2.718162537E0,-1.263752222E0,3.037354596E0
2.659005270E-1,-3.297935724E-1,4.006508827E0,-1.175452828E0,4.188384669E0
2.758947970E-1,9.884436131E-1,5.225598335E0,-1.158191204E0,5.442913338E0
2.858945370E-1,1.873002291E0,5.844465256E0,-1.176959872E0,6.249091634E0
2.959028700E-1,1.945534706E0,5.678858757E0,-1.193096757E0,6.120295903E0
3.058934950E-1,2.654572725E0,5.538629532E0,-1.160077691E0,6.250516274E0
3.158987040E-1,2.603505850E0,5.378025055E0,-1.062370777E0,6.068774824E0
3.258950580E-1,2.513936520E0,5.153826714E0,-9.340924025E-1,5.809848125E0
3.358966200E-1,2.368671179E0,4.294644356E0,-1.861667633E-1,4.908078174E0
3.458963600E-1,1.635338783E0,2.522680283E0,-5.963683128E-2,3.006959477E0
3.558945370E-1,1.420177937E0,6.401176453E-1,1.579604149E0,2.218514196E0
3.658934950E-1,4.452569485E-1,-8.960046768E-1,1.565617323E0,1.858019304E0
3.758958390E-1,3.460068703E-1,-8.477468491E-1,1.553823233E0,1.803541547E0
3.858925060E-1,2.465827465E-1,-8.018789291E-1,1.544016361E0,1.757213530E0
3.959029220E-1,-4.584636688E-1,-8.551549911E-1,1.342076421E0,1.656094235E0
4.058930270E-1,-4.877626896E-1,-8.105916977E-1,1.341427207E0,1.641462242E0
4.158947970E-1,-5.112943649E-1,-7.680025101E-1,1.341957808E0,1.628527108E0
4.258953700E-1,-5.346722603E-1,-7.272253036E-1,1.343569994E0,1.618614036E0
4.358906310E-1,-5.722234249E-1,-6.881103516E-1,2.738597393E-1,9.359138105E-1
4.458979220E-1,-6.361377239E-1,-7.478971481E-1,2.045181990E-1,1.002920257E0
4.558968810E-1,-6.746351719E-1,-7.092332840E-1,1.448686123E-1,9.895106776E-1
4.658968810E-1,-7.488148212E-1,-6.529102325E-1,2.410196066E-1,1.022304191E0
4.758942770E-1,-8.060106039E-1,7.631607056E-1,1.328202486E0,1.730950375E0
4.858984430E-1,-1.389519691E0,8.291664124E-1,1.141034961E0,1.979960276E0
4.958989640E-1,-1.391486764E0,9.028234482E-1,1.154193282E0,2.020764144E0
5.058979220E-1,-1.413918138E0,9.541473389E-1,1.167655587E0,2.067119061E0
5.158979220E-1,-1.449085116E0,9.719028473E-1,2.363683939E0,2.937932025E0
5.258934950E-1,-1.475947022E0,9.753227234E-1,2.400481939E0,2.981943589E0
5.358958390E-1,-1.457273006E0,9.424724579E-1,2.421905756E0,2.979517820E0
5.458968810E-1,-1.423685312E0,8.594055176E-1,2.410981655E0,2.928871840E0
5.559145890E-1,-1.382228136E0,7.574930191E-1,2.377234697E0,2.852296461E0
5.658920370E-1,-1.310092211E0,-8.138875961E-1,2.304812670E0,2.773250090E0
5.759742770E-1,-1.221421003E0,-7.786197662E-1,2.180158138E0,2.617481140E0
5.858938080E-1,-1.118745208E0,-8.424196243E-1,7.297923565E-1,1.579195538E0
5.958950580E-1,-9.994361401E-1,-8.071899414E-1,7.555369139E-1,1.490390629E0
6.058971410E-1,-3.384423256E-1,-7.728767395E-1,7.810726166E-1,1.149763495E0
6.159000060E-1,-3.168156147E-1,-7.394332886E-1,8.064106107E-1,1.139048636E0
6.258971410E-1,-2.735185623E-1,-7.068109512E-1,8.315612674E-1,1.125117001E0
6.358976620E-1,-2.164855003E-1,-7.732448578E-1,6.599826813E-1,1.039399212E0
6.458981830E-1,-1.372458935E-1,-7.210245132E-1,7.276496291E-1,1.033531212E0
6.558989640E-1,-1.179378033E-1,-6.895332336E-1,7.550652027E-1,1.029314756E0
6.658958390E-1,-1.059322357E-1,-6.587343216E-1,7.822415233E-1,1.028131483E0
6.758940160E-1,-8.575201035E-2,-7.270078659E-1,6.123647094E-1,9.544026308E-1
6.858932350E-1,-6.822156906E-2,-6.959609985E-1,6.421715021E-1,9.494209457E-1
6.958984430E-1,-4.817128181E-2,-6.655607224E-1,6.716765761E-1,9.468056667E-1
7.058934950E-1,-4.530668259E-2,-6.357803345E-1,7.008936405E-1,9.473759679E-1
7.158934950E-1,-6.209301949E-2,-6.065893173E-1,7.298355103E-1,9.510341818E-1
