# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-21 13:12:16.648
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008595,-0.4934,0.4579,-0.2860,0.73
0.043114,-0.3393,0.3840,-0.2002,0.55
0.069397,-0.2950,0.3126,-0.0275,0.43
0.070041,-0.3114,0.2870,0.0480,0.43
0.090830,-0.3491,0.2326,0.1473,0.44
0.091362,-0.3652,0.2094,0.1935,0.46
0.103591,-0.3766,0.1842,0.2422,0.48
0.137193,-0.3646,0.1631,0.2971,0.50
0.160382,-0.1749,0.1692,0.2835,0.37
0.161048,-0.1012,0.1821,0.2383,0.32
0.183407,0.1037,0.2254,0.1169,0.27
0.183986,0.1959,0.2443,0.0395,0.32
0.205549,0.2762,0.2649,-0.0371,0.38
0.206132,0.3441,0.2872,-0.1270,0.47
0.227810,0.4106,0.3104,-0.2039,0.55
0.249778,0.5128,0.3707,-0.4328,0.77
0.250481,0.5212,0.3890,-1.0460,1.23
0.273875,0.5437,0.4018,-1.0496,1.25
0.274442,0.5587,0.4095,-1.0577,1.26
0.296437,0.5675,0.4079,-1.0503,1.26
0.297006,0.5759,0.4028,-1.0295,1.25
0.297163,0.5838,0.3798,-0.9869,1.21
0.317645,0.5636,0.3402,-0.9220,1.13
0.324418,0.5024,0.3057,-0.7900,0.98
0.347496,0.4424,0.2701,-0.6904,0.86
0.360918,0.2286,0.1733,-0.3960,0.49
0.380558,0.1445,0.1612,-0.2951,0.37
0.380744,0.0707,0.1545,-0.1874,0.25
0.389535,0.0158,0.1433,-0.0888,0.17
0.407777,-0.0276,0.1330,-0.0033,0.14
0.408768,-0.0592,0.1237,0.0752,0.16
0.432591,-0.0755,0.1250,0.1473,0.21
0.432816,-0.0827,0.1212,0.2084,0.25
0.456717,-0.0814,0.1180,0.2596,0.30
0.457586,-0.0776,0.1152,0.2974,0.33
0.458376,-0.0625,0.1129,0.3190,0.34
0.487578,-0.0428,0.1110,0.3312,0.35
0.510659,0.0591,0.1797,0.4467,0.49
0.533246,0.1277,0.2370,0.5417,0.60
0.558470,2.1018,1.0164,2.2147,3.22
0.560108,2.2310,1.0752,2.2409,3.34
0.582726,3.2399,1.1218,2.2188,4.08
0.582900,3.3937,1.1409,2.1197,4.16
0.588369,4.3343,1.1147,1.3743,4.68
0.608145,4.3692,1.0427,1.2167,4.65
0.608316,4.3542,0.9258,0.0329,4.45
0.630901,4.3112,0.0529,-0.6829,4.37
0.631102,4.1730,-0.0236,-0.8267,4.25
0.653632,3.9365,-0.1270,-1.7050,4.29
0.678850,-2.5066,-0.9479,-1.7025,3.17
0.683589,-5.0629,-1.8051,-1.6284,5.62
0.692436,-7.5326,-1.9520,-1.5777,7.94
0.707823,-10.1573,-3.0388,-1.5304,10.71
0.711414,-12.4761,-3.1917,-1.5566,12.97
0.731372,-14.3221,-5.1428,-1.6285,15.30
0.731562,-15.5758,-5.1070,-1.7202,16.48
0.739759,-16.2158,-5.0789,-1.8141,17.09
0.758754,-16.0684,-6.1263,-1.9122,17.30
0.758960,-15.7104,-6.7542,-1.9581,17.21
0.786368,-13.9669,-6.7349,-1.9001,15.62
0.809027,-5.3707,-4.8373,0.7423,7.27
0.809217,-1.6509,-4.6830,0.8199,5.03
0.831479,2.3881,-2.3280,1.6110,3.70
0.831620,6.6123,-0.3251,1.5673,6.80
0.858689,17.6722,5.6617,-1.5837,18.62
0.884365,20.0149,7.8207,-2.9652,21.69
0.884549,21.3762,9.1863,-3.9004,23.59
0.891365,21.2523,10.0428,-4.0380,23.85
0.909151,19.8555,9.8689,-3.8088,22.50
0.910213,17.6790,9.5635,-2.2123,20.22
0.932461,15.0000,7.9880,-0.6513,17.01
0.932629,12.2438,6.6036,0.7564,13.93
0.958462,6.3148,3.3784,1.5411,7.33
0.958626,3.9022,1.6712,1.6858,4.57
0.983200,1.1485,0.1164,0.4265,1.23
0.995375,-6.1161,-3.4886,-3.1165,7.70
1.008443,-7.9332,-5.1713,-3.1429,9.98
1.031804,-9.3060,-5.1133,-4.1873,11.41
1.033302,-10.9508,-5.0144,-2.9847,12.41
1.042990,-11.0139,-4.9626,-1.9924,12.24
1.058262,-11.0398,-5.1369,-1.3318,12.25
1.061733,-11.6056,-5.1081,-1.2348,12.74
1.083154,-11.5160,-5.0688,-0.4612,12.59
1.083335,-11.3794,-3.9283,-0.4919,12.05
1.090056,-11.1754,-3.8168,-0.5408,11.82
1.108746,-10.9071,-2.8168,-0.5842,11.28
1.108939,-10.5519,-2.6949,-0.1102,10.89
